__run_id,__done,dataset,hardware,execution_time_(ms),peak_memory_(B),energy_consumption_(J),cpu_energy_(J),gpu_energy_(J),mean_cpu_utilization_(%),mean_gpu_utilization_(%),max_cpu_utilization_(%),max_gpu_utilization_(%)
run_6_repetition_18,DONE,high_spar_TPM.csv,CPU,20094,5345099776,822.5972137451172,822.5972137451172,0,47.29253012497051,4.078431372549019,100.0,22
run_7_repetition_18,DONE,high_spar_TPM.csv,GPU,4803,3736588288,189.69083860644167,74.23152160644167,115.459317,9.532823219322243,8.5,100.0,29
run_8_repetition_18,DONE,high_spar_CPM.csv,CPU,19896,5359550464,829.2225189209057,829.2225189209057,0,48.37596686759798,4.079207920792079,100.0,23
run_9_repetition_18,DONE,high_spar_CPM.csv,GPU,4803,3840983040,188.67892128125,73.59423828125,115.08468300000001,9.172319195591486,8.538461538461538,100.0,28
run_10_repetition_18,DONE,low_spar_CPM.csv,CPU,20092,5333565440,839.0133819580078,839.0133819580078,0,48.566528552303126,4.137254901960785,100.0,24
run_11_repetition_18,DONE,low_spar_CPM.csv,GPU,4803,3793989632,188.9214120341797,75.16716003417969,113.754252,9.247389361262321,7.615384615384615,100.0,24
run_0_repetition_19,DONE,GDS3900_CPM.csv,CPU,21609,3587969024,316.1311340332031,316.1311340332031,0,7.511866117607463,4.081818181818182,100.0,25
run_1_repetition_19,DONE,GDS3900_CPM.csv,GPU,2201,3354198016,83.61222659765625,37.36041259765625,46.251813999999996,11.748872463519756,8.461538461538462,100.0,26
run_2_repetition_19,DONE,GDS3900_TPM.csv,CPU,245088,4158664704,4060.129718550781,4039.7874145507812,20.342304000000002,7.0097015045990085,3.050529747351263,100.0,23
run_3_repetition_19,DONE,GDS3900_TPM.csv,GPU,2201,3420766208,86.30655204882812,39.035675048828125,47.270877,11.51210525861153,7.846153846153846,100.0,23
run_4_repetition_19,DONE,low_spar_TPM.csv,CPU,20088,5365768192,829.7833862304688,829.7833862304688,0,48.20311213416212,4.196078431372549,100.0,25
run_5_repetition_19,DONE,low_spar_TPM.csv,GPU,4802,3856453632,190.59085286035156,75.83265686035156,114.758196,9.435607192608026,7.6923076923076925,100.0,24
run_6_repetition_19,DONE,high_spar_TPM.csv,CPU,19889,5323395072,825.7303061835937,825.4916381835938,0.23866800000000002,48.48557743459645,4.178217821782178,100.0,24
run_7_repetition_19,DONE,high_spar_TPM.csv,GPU,4803,3790852096,190.4927620371094,74.82211303710938,115.67064900000001,9.137710272119595,7.615384615384615,100.0,23
run_8_repetition_19,DONE,high_spar_CPM.csv,CPU,19872,5420171264,823.5953063964844,823.5953063964844,0,48.60177116317324,4.188118811881188,100.0,24
run_9_repetition_19,DONE,high_spar_CPM.csv,GPU,4802,3788742656,188.92178075097655,74.54774475097656,114.37403599999999,9.227415763414822,7.8076923076923075,100.0,24
run_10_repetition_19,DONE,low_spar_CPM.csv,CPU,20078,5442551808,833.5758972167969,833.5758972167969,0,48.21292847570251,4.147058823529412,100.0,24
run_11_repetition_19,DONE,low_spar_CPM.csv,GPU,4802,3814797312,189.04970546777344,74.45957946777344,114.590126,9.248629881785465,7.461538461538462,100.0,24
